;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupe LinkedIn;;« Si vous ne souhaitez pas que nous utilisions des cookies lorsque vous visitez LinkedIn, vous pouvez désactiver certains d’entre eux »;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tumblr;;;Si l'utilisateur empêche l'utilisation des cookies, il ne pourra accéder à son compte. Tumblr recommande dans sa politique de confidentialité de ne pas empêcher leur utilisation. De plus, il est notifié que d'autres services que Tumblr tels que Google Analytics et Yahoo Web Analytics peuvent potentiellement placer leurs propres cookies sur le navigateur de l'internaute. Tumblr précise dans sa politique de confidentialité qu'il n'encadre que l'usage de ses propres cookies et non ceux des tiers. ;;;;;;;;;;;;;;;;;;;;;;;;;;
MEDIUM;;;"Medium utilise des cookies afin de permettre à ses serveurs de reconnaître le moteur de recherche de l'utilisateur et de savoir quand et comment les utilisateurs utilisent le site. Ces informations sont associées à celles du compte créé par l'utilisateur sans opt-in. Désactiver les cookies empêche l'accès TOTAL à son compte. Impossibilité de se connecter à son compte et d'utiliser la majorité des services offerts par le site. Une exception est faite pour ""DNT""(Do Not Track), paradoxalement, il doit permettre l'installation de cookies pour accéder au service, mais l'utilisation faite par Medium sera moins agressive. Enfin, des tiers tels que embed.ly peuvent installer leurs propres cookies, la politique de confidentialité de Medium ne prévoit une garantie que pour l'usage de ses cookies et écarte sa responsabilité pour ceux des tiers. ";;;;;;;;;;;;;;;;;;;;;;;;;;
"Couchsurfing
(ambigües sur ce point)";;"""Most web browsers are set to accept cookies by default. However, you can choose to set your browser to remove or reject browser cookies. Each browser is a little different, so look at your browser's help menu to learn the correct way to modify your cookies, or visit [www.allaboutcookies.org]. """;" +""Please note, however, that our Services may not function properly if your browser does not accept cookies.""
";;;;;;;;;;;;;;;;;;;;;;;;;;
Blablacar;;"""Comme pratiquement tous les sites Internet, nous utilisons des cookies afin de pouvoir vous proposer un service web plus personnalisé. Il nous serait impossible de mettre en œuvre toutes les fonctionnalités du site sans utiliser de cookies.
[...]
Vous avez la possibilité de modifier les paramètres de votre navigateur afin d'éviter que les cookies soient stockés sur votre ordinateur ou votre appareil mobile sans votre consentement explicite. La rubrique d'aide de votre navigateur doit en principe vous apporter des détails sur la façon dont vous pouvez gérer les cookies. Il est à noter que ce réglage n'empêchera pas les contenus publicitaires de s'afficher. Les contenus qui vous seront proposés seront simplement moins pertinents.""";;;;;;;;;;;;;;;;;;;;;;;;;;;
Steam;;;"« Les produits, services et sites de Valve peuvent utiliser des cookies et d'autres technologies telles que des balises Web et des pixels invisibles. »

+ Aucune justification ou mention d’opt-out";;;;;;;;;;;;;;;;;;;;;;;;;;
Viber;;« Si vous avez autorisé votre ordinateur à accepter les cookies, le Site pourra en utiliser. […] Ils peuvent servir à analyser l'utilisation du Site, à améliorer le contenu, à personnaliser le contenu et l'agencement du Site et à faciliter l'activité du service clients. Un cookie peut nous permettre de mettre en corrélation votre utilisation du Site avec d'autres informations vous concernant, notamment vos Informations personnelles. Le but final est d'améliorer et personnaliser votre utilisation du Site. La plupart des navigateurs Web peuvent être paramétrés de manière à vous informer lorsqu'un cookie vous a été envoyé et à vous permettre de le refuser. De même, si un lecteur Flash est installé sur votre ordinateur, il peut être configuré de façon à refuser ou supprimer les cookies Flash. Toutefois, le fait de refuser un cookie peut, dans certains cas, vous empêcher d'utiliser toutes les fonctionnalités du Site et dégrader l'affichage de certains éléments ou de certaines zones.;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACEBOOK;;;"(dans cookies policy)""Nous
utilisons également ces technologies [Les cookies, et autres] d’autres façons,
notamment pour des raisons de sécurité, pour proposer et activer nos produits
et services, ainsi que pour comprendre et évaluer ces produits, services et
publicités. Les tiers avec lesquels vous interagissez dans le cadre de votre
utilisation des Services Facebook peuvent également utiliser ces technologies
pour diverses raisons

[Les
finalités d’utilisations des cookies sont aux nombres de 7 :

authentication;
(2) security and site integrity; (3) advertising; (4) localisation; (5) site
features and services; (6) performance and (7) analytics and research]
""Cette
connexion peut ensuite fournir des informations telles que l’adresse IP de
l’appareil, l’heure d’affichage du pixel, l’identificateur associé au
navigateur ou à l’appareil et le type de navigateur utilisé""

Il y a donc bien
collecte de données personnelles notamment l’adresse IP]";;;;;;;;;;;;;;;;;;;;;;;;;;
Viadeo;;« Le Membre est libre d'accepter ou de refuser les cookies en configurant son navigateur. »;« Vous pouvez choisir de désactiver l’utilisation des cookies en modifiant vos préférences dans votre navigateur internet. Dans ce cas, certaines fonctionnalités d’APVO ne seront plus disponibles. »;;;;;;;;;;;;;;;;;;;;;;;;;;
Skype;;;« En utilisant les sites Web et/ou les logiciels Skype, vous autorisez l'utilisation de cookies. Si vous vous connectez à Skype ou à d'autres produits Microsoft avec un compte Microsoft ou un compte Skype, nous définirons ou lirons un ou plusieurs autres cookies. »;La clause implique une utilisation nécessaire des cookies à chaque utilisation de Skype, et induit par conséquent une possible association avec les données personnelles pour permettre le fonctionnement du service.;;;;;;;;;;;;;;;;;;;;;;;;;
Google  ;;;"Nous utilisons les cookies à diverses fins. Nous les employons, par exemple, pour mémoriser vos préférences de recherche SafeSearch, accroître la pertinence des annonces diffusées à votre attention, compter les visiteurs d'une page, vous aider à vous inscrire à nos services et à protéger vos données.

Nos partenaires et nous-mêmes utilisons différentes technologies pour collecter et stocker des données lorsque vous accédez à un service Google, par exemple en envoyant un ou plusieurs cookies ou identifiants anonymes sur votre appareil. Nous utilisons également des cookies et des identifiants anonymes lorsque vous interagissez avec les services que nous proposons à nos partenaires, comme des services de publicité ou les fonctionnalités Google qui peuvent apparaître sur d'autres sites. 

Notre produit Google Analytics permet aux entreprises et aux propriétaires de sites d'analyser le trafic sur leurs sites Web et sur leurs applications. Lorsqu'il est utilisé parallèlement à nos services publicitaires, tels que ceux utilisant le cookie DoubleClick, les informations Google Analytics sont associées, à l'aide de la technologie Google, aux informations relatives aux visites sur plusieurs sites.
Nos partenaires et nous-mêmes utilisons différentes technologies pour collecter et stocker des données lorsque vous accédez à un service Google, par exemple en envoyant un ou plusieurs cookies ou identifiants anonymes sur votre appareil. Nous utilisons également des cookies et des identifiants anonymes lorsque vous interagissez avec les services que nous proposons à nos partenaires, comme des services de publicité ou les fonctionnalités Google qui peuvent apparaître sur d'autres sites. 
Notre produit Google Analytics permet aux entreprises et aux propriétaires de sites d'analyser le trafic sur leurs sites Web et sur leurs applications. Lorsqu'il est utilisé parallèlement à nos services publicitaires, tels que ceux utilisant le cookie DoubleClick, les informations Google Analytics sont associées, à l'aide de la technologie Google, aux informations relatives aux visites sur plusieurs sites.";;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;;;« Lorsque vous accédez au Service, nous pouvons utiliser des cookies et d’autres technologies similaires (pixels, balise web, stockage local, etc.) pour rassembler des informations sur la manière dont vous utilisez Instagram et vous proposer des fonctionnalités adaptées. ».;;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;;;"« Les cookies enregistrés sur votre ordinateur peuvent être utilisés pour la remémoration d’éléments tels que votre mot de passe, une authentification ou un enregistrement antérieur
(…) pour garder une trace de votre connexion (…) pour recueillir des informations sur les sections du site [Blizzard] que vous visitez, les produits qui vont intéressent et pour garder une trace de votre navigation ».";;;;;;;;;;;;;;;;;;;;;;;;;;
Pinterest;;;« Depending on how you’re accessing our products, we may use “cookies” (a small text file sent by your computer each time you visit our website, unique to your Pinterest account or your browser) or similar technologies to record log data. When we use cookies, we may use “session” cookies (that last until you close your browser) or “persistent” cookies (that last until you or your browser delete them). For example, we may use cookies to store your language preferences or other Pinterest settings so you don‘t have to set them up every time you visit Pinterest. Some of the cookies we use are associated with your Pinterest account (including personal information about you, such as the email address you gave us), and other cookies are not. »;;;;;;;;;;;;;;;;;;;;;;;;;;
Dofus-Ankama;"Tout dépend de la provenance des cookies, mais il est
  recommandé voire obligatoire d’accepter les cookies émis par Ankama «Ankama
  peut être amenée à récolter des informations de navigation via l'utilisation
  de cookies. L'acceptation de ces cookies est obligatoire pour accéder à
  certaines fonctionnalités de nos Sites » ";"Il existe plusieurs type de cookies dont notamment :
  
  1)   ceux émis par Ankama sur ses sites auquels
  - cookies strictement
  nécessaire
  - cookies de fonctionnalité
  - publicitaires
  2)   ceux émis par des tiers sur les sites d’Ankama.
  « Votre attention est attirée sur le
  fait qu’en paramétrant votre navigateur pour refuser l’ensemble les cookies,
  certaines fonctionnalité, page, espace des Sites ne seront pas accessibles.
  C’est pourquoi Nous vous recommandons de ne désactiver que les cookies tiers. »";;;;;;;;;;;;;;;;;;;;;;;;;;;
Adopte un mec;;;"La Configuration exige?e pour be?ne?ficier des Services du Site est :
 [...]
Acceptation des cookies.                                                                                                        Les cookies sont utilise?s pour faciliter la navigation sur le Site. Ils stockent les informations personnelles que l'Utilisateur a saisies durant sa visite, a? savoir :
Nous stockons certaines informations en utilisant les ""cookies"". Un cookie est un morceau de donne?es stocke?es sur votre ordinateur lie? a? l'utilisation de votre compte. Nous utilisons des cookies de session pour s'assurer que les utilisateurs sont connecte?s et pour stocker des informations de mot de passe.
Ils stockent e?galement les informations relatives a? la navigation de l'Utilisateur sur le Site (les pages consulte?es, la date et l'heure de la consultation, etc.). Ainsi, lors des prochaines visites, l'Utilisateur n'aura pas a? les saisir a? nouveau.
La dure?e de conservation des cookies est d’un mois.";;;;;;;;;;;;;;;;;;;;;;;;;;
Pixels espion;Pas d’utilisation;Pour connaître le taux d’ouverture des courriels ou pour finalités légitimes explicitement déterminées;Implémentation sans transparence ni précision sur les finalités;;;;;;;;;;;;;;;;;;;;;;;;;;
Whatsapp;-;"When you use the WhatsApp Service, our servers log certain general information that our application sends whenever a message is sent or received, or if you update or request any status information, including time and date stamps and the mobile phone numbers the messages were sent from and to. 
These server logs may include information such as your web request, Internet Protocol (""IP"") address, browser type, browser language, referring / exit pages and URLs, platform type, number of clicks, domain names, landing pages, pages viewed and the order of those pages, the amount of time spent on particular pages, the date and time of your request, one or more cookies that may uniquely identify your browser, your phone number, phone number you are requesting the status of and various status information. 
Lorsque vous utilisez le service WhatsApp, nos serveurs enregistrent certaines informations générales que notre application envoie chaque fois qu'un message est envoyé ou reçu, ou si vous mettez à jour ou demandez toute information, y compris le temps et les dates et les numéros de téléphone mobile les messages à partir desquels les messages ont été envoyés.
Ces journaux de serveur peuvent contenir des informations telles que votre requête web, le protocole Internet («IP»), le type de navigateur, la langue du navigateur, pages de référence / sortie et des URL, le type de plateforme, le nombre de clics, noms de domaine, les pages de destination, pages vues et l'ordre de ces pages, la quantité de temps passé sur des pages particulières, la date et l'heure de votre demande, un ou plusieurs cookies qui peuvent identifier votre navigateur, votre numéro de téléphone, numéro de téléphone que vous demandez le statut et diverses informations d'état .";-;;;;;;;;;;;;;;;;;;;;;;;;;;
Twitter;;;;Pas de précision de ce terme chez Twitter;;;;"Tumblr est basé aux Etats-Unis et les règles de conduite et procédures applicables sont soumises au droit des Etats-Unis. Les utilisateurs localisés hors des Etats-Unis consente au transfert, au stockage et au traitement de leurs informations, données personnelles comprises, vers les Etats-Unis et/ou un autre Etat.    As such, the following provisions apply specifically to Subscribers
 located outside of the United States: (1) you consent to the transfer, 
storage, and processing of your information, including but not limited 
to Subscriber Content and any personal information, to and in the United
 States and/or other countries; and (2) if you are using the Services 
from a country embargoed by the United States, or are on the United 
States Treasury Department's list of ""Specially Designated Nationals,"" 
you agree that you will not engage in financial transactions, or conduct
 any commercial activities using or through the Services (for example, 
purchasing Premium Themes).";;;;;;;;;;;;;;;;;;;;;
Snapchat;;;Comme beaucoup de services en ligne, Snapchat utilise les cookies, des balises web et d’autres technologies de ce type. Snapchat se place en licence +++ puisque l’implémentation de ces pixels espion se fait sans transparence, ni précision sur les finalités.;;;;;;;;;;;;;;;;;;;;;;;;;;
Tumblr;Pas d'information à ce sujet;;;Aucune précision à ce sujet;;;;;;;;;;;;;;;;;;;;;;;;;
MEDIUM; Pas d'information à ce sujet;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Couchsurfing;;"""When you access or use our Services, we may also automatically collect information about you, including :
[...]
Information Collected by Cookies and other Tracking Technologies : We may automatically collect information using cookies, web beacons (also known as “tracking gifs,” “pixel tags” and “tracking pixels”) and other tracking technologies to, among other things, improve our Services and your experience, monitor user activity, count visits, understand usage and campaign effectiveness, and tell if an email has been opened and acted upon.""";;;;;;;;;;;;;;;;;;;;;;;;;;;
Blablacar;;"(CGU ambigües sur ce point)

""Les cookies peuvent être utilisés de différentes façons comme indiqué ci-dessous :
- [...](les cookies de fonctionnalité) pour vous proposer une expérience de navigation optimale durant votre navigation sur le site.

- [...](les cookies de performance)afin d'améliorer le fonctionnement du site.

- [...](les cookies de ciblage ou publicitaire)dans le but de vous fournir des contenus publicitaires pertinents et pouvant vous intéresser""
+
""Nous utilisons également d'autres technologies telles que les balises web, pixels invisibles, tags ou des technologies similaires dans le même but.""";;;;;;;;;;;;;;;;;;;;;;;;;;;
Steam;;;"« Les produits, services et sites de Valve peuvent utiliser des cookies et d'autres technologies telles que des balises Web et des pixels invisibles. »

+ Aucune justification ou mention d’opt-out";;;;;;;;;;;;;;;;;;;;;;;;;;
Viber;;;« Nous pouvons utiliser des « GIF transparents » (« balises Web » ou « balises pixel ») ou des technologies similaires dans notre Site et/ou dans nos communications avec vous afin de nous permettre d'obtenir des informations d'utilisation sur les visiteurs du Site, cibler des campagnes, mettre à niveau les informations sur les visiteurs et savoir si vous avez visité une page Web ou reçu un message. Un GIF transparent est généralement une image transparente d'un pixel (bien qu'il puisse aussi s'agir d'une image visible), située sur une page Web, dans un e-mail ou dans un autre type de message, qui est extraite d'un site distant sur Internet afin de vérifier qu'un individu a consulté ou reçu une page Web ou un message. Un GIF transparent peut nous permettre de mettre en corrélation votre consultation ou réception d'une page Web ou d'un message avec d'autres informations vous concernant, notamment vos Informations personnelles. »;;;;;;;;;;;;;;;;;;;;;;;;;;
FACEBOOK;;"[Utilisation de pixels de suivi pour les mêmes finalités que les cookies. Les
finalités d’utilisations  sont aux nombres de 7 :
authentication(1)
) security and site integrity; (3) advertising; (4) localisation; (5) site
features and services; (6) performance and (7) analytics and research]
La politique d'utilisation des Cookies mentionne les pixels de suivi parmis les ""autres technologies"" de la sorte. Les finalités sont déterminées, voire même assez bien détaillées dans la politique d'utilisation des cookies]";;;;;;;;;;;;;;;;;;;;;;;;;;;
Viadeo;-;-;-;Aucune information;;;;;;;;;;;;;;;;;;;;;;;;;
Skype;;« Nous utilisons également des balises Web pour permettre de fournir les cookies et de compiler les analyses. Ces balises proviennent de fournisseurs de services tiers.»;;;;;;;;;;;;;;;;;;;;;;;;;;;
Google  ;;"Utilisation des balises pixels pour les mêmes finalités que les cookies.
Nous utilisons les informations fournies par les cookies et d'autres technologies, comme les balises pixel, pour vous offrir un meilleur confort d'utilisation et améliorer la qualité globale de nos services.";;;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;;;« Lorsque vous accédez au Service, nous pouvons utiliser des cookies et d’autres technologies similaires (pixels, balise web, stockage local, etc.) pour rassembler des informations sur la manière dont vous utilisez Instagram et vous proposer des fonctionnalités adaptées. ».;;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinterest;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;
Adopte un mec;Pas d'information à ce sujet dans les CGU.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Délai d’anonymisation;Suppression dès la suppression du compte / pas de conservation de données anonymisées Conservation systématique si obligation légale;Anonymisation dès la suppression du compte;Anonymisation après la suppression du compte ou après un délai supérieur à 6 mois;Aucune anonymisation voire potentiellement aucune suppression;;;;;;;;;;;;;;;;;;;;;;;;;
Whatsapp;"Any billing information that may be collected from you will be deleted thirty (30) days after the termination of your account with WhatsApp.
Toute information relative à la facturation ayant pu être collectée sera effacée dans un délai de 30 jours après la suppression de votre compte WhatsApp. ";-;-;;;;;;;;;;;;;;;;;;;;;;;;;;
Twitter;;;"• Après sa désactivation, votre compte n’est plus visible sur Twitter.com. Pendant les 30 jours suivant la désactivation, il est toujours possible de restaurer votre compte s’il a été désactivé accidentellement ou par erreur. Après 30 jours, le processus d’effacement de votre compte sur nos systèmes sera amorcé ; il peut prendre jusqu’à une semaine.
• Données de journal :
Nous supprimons les Données de journal ou retirons l’ensemble des identifiants communs comme le nom d’utilisateur, l’adresse IP complète ou l’adresse email après 18 mois, sauf dans le cas où cela aurait été effectué préalablement 
(= Cf. cas des Données de widget : « Après une période maximale de 10 jours, nous commençons le processus d’effacement, de suppression de l’identification ou d’agrégation des données de widget, qui est en général instantané, mais peut dans certains cas prendre jusqu’à une semaine »)";;;;;;;;;;;;;;;;;;;;;;;;;;
Snapchat;la politique de confidentialité quant au délai de conservation des données personnelles n'est pas claire. Il est simplement prévu que Snapchat peut conserver certaines données pour une période limitée ou pour la durée retenue par la loi.;;;La politique de confidentialité quant au délai de conservation des données personnelles n'est pas claire. Il est simplement prévu que Snapchat peut conserver certaines données pour une période limitée ou pour la durée retenue par la loi.;;;;;;;;;;;;;;;;;;;;;;;;;
Groupe LinkedIn;;;Si cloture : suppression des données du Service sous 24 heures « en principe », anonymisation des journaux et données de sauvegarde sous 30 jours;;;;;;;;;;;;;;;;;;;;;;;;;;
Tumblr;;;;" Le fait de supprimer son compte ne signifie pas une suppression totale du contenu que vous avez posté. Certaines informations peuvent ne pas être supprimées immédiatement (comme les caching of, backups of, copies of, les informations du compte). Il est également précisé que, compte tenu de la nature du service proposé par Tumblr, le fait que des tiers repostent des éléments de votre blog peuvent engendrer leur maintien sur Tumblr et leur accessibilité au public. 
""The deletion will be effective immediately,
 for the most part, but it might take a little while to scrub everything
 from our archives and backups"".
        ";;;;;;;;;;;;;;;;;;;;;;;;;
MEDIUM ;; Possibilité de désactiver son compte et de le réactiver pendant une période de 30 jours en se reconnectant. Après 30 jours d'inactivité, le compte ainsi que les données associées seront supprimés et l'utilisateur ne pourra les récupérer. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Couchsurfing;;;"""Even after you deactivate your account, we may retain certain information as required by law, for legitimate business purposes and to protect member safety.""";;;;;;;;;;;;;;;;;;;;;;;;;;
Blablacar;Il n'est pas fait état d'un délai d'anonymisation ou de suppression des données personnelles dans la politique de confidentialité de Blablacar. Il est dès lors possible d'imaginer que Blablacar se soumet aux obligations légales françaises. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steam;;;;Pas d'information;;;;;;;;;;;;;;;;;;;;;;;;;
Viber;;"Pour des raisons technologiques, nous ne savons pas si et quand vous supprimez l'application. Par conséquent, si nous ne détectons aucune activité sur votre appareil pendant 90 jours, nous supposerons que vous avez supprimé l'application et retirerons votre carnet d'adresses de nos serveurs. Cependant, étant donné que nous ne sommes pas certains que vous ayez supprimé l'application (vous êtes peut-être seulement parti en vacances), nous ne désactiverons pas votre compte Viber (numéro de téléphone et identifiant de l'appareil). Ceci évitera que vous n'ayez à vous réenregistrer en cas de non-utilisation.
Si vous souhaitez supprimer totalement votre compte, vous pouvez aller dans l'onglet « Plus » de l'application Viber et appuyer sur l'option « Désactiver le compte ». Ceci aura pour effet de supprimer vos données de Viber et de désactiver Viber sur votre appareil. Pour toute question ou demande supplémentaire, contactez Viber à l'adresse support@viber.com.";;;;;;;;;;;;;;;;;;;;;;;;;;;
FACEBOOK;;;;"Licence ++++ avec aucune anonymisation voire potentiellement aucune suppression de certaines données         (dans data policy) ""Nous conservons vos données aussi longtemps que nécessaire pour fournir
nos produits et services pour vous et les autres, dont celles décrites plus
haut. Les informations associés à votre compte seront conservées jusqu’à ce que
votre compte soit supprimé, sauf si elles restent nécessaire pour fournir nos
produits et services""                                                   [Facebook ne mentionne aucune anonymisation et le ""sauf si elles restent nécessaire pour fournir nos produits et services"" est assez vague pour se poser la question]";;;;;;;;;;;;;;;;;;;;;;;;;
Viadeo;Les données à caractère personnel communiquées par le Membre seront détruites cinq ans après sa dernière connexion au Site ou à l'expiration du Contrat, à sa demande expresse.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skype ;"S’agissant des données de contact, « Notez que nous n'utiliserons pas vos noms d'utilisateur et vos mots de passe pour d'autres raisons et que nous ne conserverons pas vos noms d'utilisateur et vos mots de passe après les avoir utilisés pour ces raisons. »

« Nous pouvons accéder à vos informations personnelles (comme le contenu de vos messages instantanés, messages vidéo stockés ou transferts de fichiers), y compris vos contenus privés les divulguer et les préserver, lorsque nous pensons, de bonne foi, que cela est nécessaire pour [les obligations légales] »";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Google  ;;;;Il n'y a aucune information quand au délai d'anonymisation ou de suppression des données personnelles dans la politique de confidentialité de google. Cependant dans les fait il y a une anonymisation de l'adresse IP au bout de 9 mois et des cookies au bout de 2 ans  ;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;;;"« Après la résiliation ou la désactivation de votre compte, Instagram, ses Filiales ou ses Prestataires de services pourront conserver certaines données (y compris les informations de votre profil) et votre Contenu d’utilisateur pendant une durée raisonnable commercialement parlant, à des fins de sauvegarde, d’archivage ou d’audit. ».

La clause manque ici de clarté quant à la durée de conservation réelle.";;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;"La possibilité est offerte de contacter Blizzard pour demander une rectification, voire une suppression de ses données personnelles. Dans l’éventualité d’une demande d’effacement des informations, ceci entraînera la suppression du compte auquel elles sont associées.

On peut vraisemblablement déduire de cette clause que les données sont supprimées dès la fermeture du compte par son utilisateur.";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinterest;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;
Dofus-Ankama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adopte un mec;;;;Pas d'information à ce sujet directement. Il est cependant mentionné que les messages privé sont supprimés après un an.;;;;;;;;;;;;;;;;;;;;;;;;;
