;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;;"""Tout autre contenu que vous publiez - tel que des images, des informations, des opinions ou tout autre type d'information personnelle que vous mettez à la disposition des autres participants de ces plateformes ou applications sociales - n'est pas soumis à cette Déclaration de Confidentialité. Ce contenu est régi par les Conditions d'utilisation de ces plateformes ou applications et par les règles de confidentialité qui y sont associées""";""" les données que vous publiez sur de telles plateformes sociales pourront être consultées par de très nombreux internautes, qu'ils soient ou non employés par IBM.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rue du commerce;;;;Pas d'indication en ce sens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;Si vous le souhaitez, vous pouvez partager certaines informations présentes dans votre compte en créant un profil public associé soit à votre prénom soit à un pseudonyme de votre choix. Les informations que vous pouvez ainsi partager sont : votre photo, les noms des destinations que vous avez visitées, vos listes, vos prochains voyages, vos commentaires et d’autres informations concernant des établissements et des destinations.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eBay;"Le profil de l'utilisateur sur eBay est public et accessible par tous les utilisateurs. le profil contient notamment le pseudo qui est affiché sur l'ensemble du site eBay. Le site ajoute également :
""Les autres utilisateurs peuvent également voir les informations que vous avez choisi de partager dans votre profil et sur votre Page perso. Les avertissements envoyés aux autres membres de la communauté à propos d'activités suspectes et de violations des règlements sur nos sites mentionnent les pseudos et les objets concernés. Par conséquent, si vous associez votre nom à votre pseudo, les utilisateurs qui connaissent votre nom pourront identifier personnellement vos activités sur eBay.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;;;;Les utilisateurs ne disposent pas de profil.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;Les utilisateurs du site ont accès aux informations publiques/données de profil des autres utilisateurs. ;"Communication des données de profil aux partenaires si utilisateur arrivé sur TripAdvisor par l'intermédiaire de ce partenaire et décide de s'inscrire sur TripAdvisor : ""Si vous êtes arrivé sur notre Site par l’intermédiaire de l’un de nos partenaires (que vous soyez inscrit ou non auprès de ce partenaire) et si vous décidez de vous inscrire auprès de nous, il se peut que nous soyons tenus de communiquer au partenaire en question tout ou partie des informations d’inscription vous concernant. Nous ne transmettrons de telles informations que dans le respect de la présente charte mais nous ne pouvons pas exercer de contrôle sur l’utilisation qui sera faite par notre partenaire des informations en question. Nous vous conseillons d’examiner la charte de protection de la vie privée de notre partenaire, si vous avez des questions à son sujet, avant de nous fournir des informations vous concernant""";Réception par les utilisateurs de messages d'autres membres. TripAdvisor utilise le carnet d'adresses électroniques d'un utilisateur inscrit (adresses électroniques de membres ou de non-membres) afin de leur envoyer des messages au nom de l'utilisateur inscrit. Opt-in des membres ou non-membres nécessaire pour recevoir ces messages.;"Proposition : création d'une Licence ""Données de profil accessible au public (utilisateurs non inscrits)"" selon les paramètres de confidentialité choisis :   ""Votre profil et les contributions enregistrées sur TripAdvisor pourront être consultés par le public et seront identifiables grâce au pseudo qui s’affichera. TripAdvisor encourage ses membres à créer des pseudos ne pouvant être directement associés à leurs noms et prénoms. TripAdvisor ne partagera ni votre adresse électronique ni vos nom et prénoms avec d’autres membres et ne les affichera pas non plus de façon publique, à moins que vous ne nous le demandiez expressément.""";"Proposition Licence
intermédiaire entre la Licence + et Licence ++ : ""Données de profil
accessible au public (utilisateurs non inscrits)"" selon les paramètres de
confidentialité choisis :   ""Votre profil et les contributions enregistrées
sur TripAdvisor pourront être consultés par le public et seront identifiables
grâce au pseudo qui s’affichera. TripAdvisor encourage ses membres à créer des
pseudos ne pouvant être directement associés à leurs noms et prénoms.
TripAdvisor ne partagera ni votre adresse électronique ni vos nom et prénoms
avec d’autres membres et ne les affichera pas non plus de façon publique, à
moins que vous ne nous le demandiez expressément.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;"Les utilisateurs du site ont accès aux informations publiques/données de profil des autres utilisateurs : ""The Website and the App may offer publicly accessible blogs and community forums. We will use your personal data such as your name, email address, the messages or content you choose to post to administrate and provide you with these services. You should be aware that any information you provide in these areas may be read, collected, and used by others who access them. To request removal of your personal information from our blog or community forum, please contact us at support@uber.com.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;"Any information or User Content that you voluntarily disclose for posting to the Service, such as your public profile, photos or images and associated metadata, and comments, becomes available to other VSCO users and to the public, as controlled by any applicable privacy settings. If you remove information that you posted to the Service, copies may remain viewable in cached and archived pages of the Service, or if other Users have copied or saved that information. You may also choose to share your information with friends through email or various social media sites.

Les termes ne sont pas clairs, on ne comprend pas très bien la difference entre les utilisateurs de VSCO et le public…";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;« Si vous utilisez le service MyTrips, vous pouvez envoyer ou accorder l’accès à vos itinéraires à toute personne de votre choix. » ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeviantArt;;;"Please note that when you create an Account, your profile page will display your Account user name and certain statistics regarding your own use of the Services, including but not limited to, the date you became an Account holder, the categories of materials you posted and how long ago you last visited the Sites. It will also display information about the Account holders who visit your profile page including the names of those Account holders who follow you (if the Account holder has permitted such display), and the number of visitors to, and views of your profile page or pages containing Artworks you have submitted.
 
 Any information or content that you post to your profile page, or to chat rooms or forums will be publicly accessible by Users so please exercise your good judgment before you post. The name you choose when creating your Account is visible to all Users of the Services. If you visit another account holder's profile page, your user name will appear on that page.";Certaines données du profil sont mises à disposition du public et au référencement, mais sont limités au nom d’utilisateurs et des statistiques relatives à l’utilisation du compte sur le site. Toutefois, ne sont pas rendues publiques les données personnelles.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go Voyages ;;;;Contrairement à certains comparateurs de voyage qui proposent de mettre à disposition des tiers son itinéraire de voyage,  il y a aucune information sur les données de profil ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;;Si vous êtes inscrit comme utilisateur PayPal, des informations telles que vos nom, adresse email, pseudo Skype (le cas échéant), numéro de téléphone (le cas échéant), date d'inscription, le nombre de paiements que vous avez reçus d'utilisateurs vérifiés ainsi que le fait que vous disposiez ou non d'un compte bancaire vérifié sont mises à la disposition des autres utilisateurs PayPal que vous avez payés ou des expéditeurs qui souhaitent vous payer à l'aide des Services PayPal. Si vous êtes titulaire d'un compte Business, nous afficherons également à l'intention des autres utilisateurs PayPal l'adresse du site (URL) et les coordonnées du service clientèle que vous nous communiquez. De plus, ceci et d’autres informations peuvent également être partagés avec des tiers lorsque vous utilisez ces tiers pour accéder aux Services PayPal. Cependant, ni votre numéro de carte bancaire, ni votre numéro de compte bancaire, ni vos autres informations financières ne seront révélés aux personnes que vous avez payées ou qui vous ont payé à l'aide des Services PayPal ou de tiers utilisant les Services PayPal, sauf autorisation expresse de votre part ou si nous sommes tenus de le faire pour respecter les règlements relatifs aux cartes bancaires, répondre à l'ordonnance d'un tribunal ou dans le cadre d'autres procédures juridiques.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD;Aucune donnée à ce sujet dans les CGU.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Données de localisation;Uniquement pour et pendant la fourniture de service/ conservation limitée aux obligations légales;Mise à disposition des partenaires pour référencement et agrégation (avec opt-in);Publication automatique / poursuite de la collecte dans le temps après l’activation / concession de licence d’exploitation perpétuelle;Pas de collecte des données de localisation. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;;;"Pour les services de géolocalisation sur les produits Apple:                                                                                                         Apple, ses partenaires et licenciés peuvent collecter, utiliser et partager des données de localisation précises y compris la localisation géographique en temps réel de l'appareil.                                                                                                                  La garantie pour l'utilisateur repose sur l'anonymisation de ces données utilisées pour ""fournir et améliorer les produits et services de géolocalisation"" avec faculté d'opt-in si l'utilisateur accepte les services de localisation des partenaires et licenciés d'Apple.                        Pour la fonctionnalité ""localiser mon Iphone"": possibilité d'opt-out à Apple, ses partenaires et licenciés. Si l'utilisateur ne désactive pas cette fonctionnalité ces derniers collectent, utilisent, transmettent, opèrent un traitement et une maintenance des données de localisation et de compte par défaut.                                                             ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente Privée;-;-;-;Il n'est pas fait mention de localisation dans la data privacy de Vente Privée. Au vu de l'activité exercée, il est possible de penser qu'une telle récolte de données de localisation n'est pas effectuée par Vente Privée. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy; L’Utilisateur est informé que la publicité diffusée sur le Site peut être réalisée en fonction de sa localisation. Lorsque cela est le cas, cette localisation est réalisée via son adresse IP ou, à défaut, via son navigateur Internet lorsque celui-ci le propose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allo Resto;;"Aborde la question de la collecte de la localisation mais ne précise pas la finalité de celle-ci. 
Possibilité pour l’utilisateur de rester anonyme, en passant par l’appareil.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom;Tom Tom permet à l'utilisateur de maitriser sa localisation à tout moment :  nous vous demandons l'autorisation avant de récupérer et d'utiliser vos données.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;L'utilisation de certaines fonctionnalités de la plateforme et notamment son utilisation mobile implique la collecte de données de localisation avec renvoi vers le paramétrage de l'appareil mobile pour désactiver la localisation GPS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;Amazon n’aborde la question de la localisation que pour les appareils portables, pas les fixes. Règime d’opt-out : la politique de confidentialité renvoie au réglage de l’appareil portable. Les données de localisation sont utilisées pour fournir des “services liés à la localisation, tels que des résultats de recherche et autres contenus personnalisées”. Le système pour désactiver la collecte des données de localisation par Amazon n’est ni simple ni intuitif puisque indirect : désactivation directement et seulement sur l’appareil.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsoft;;"""Si vous avez autorisé un service ou une application Microsoft utilisant les services Bing à accéder à votre emplacement, lorsque vous effectuez une recherche, l'emplacement de votre appareil sera envoyé à Microsoft avec les termes de recherche, l'heure et la date de votre recherche et un identifiant unique généré par le service ou l'application Microsoft. Les fonctionnalités de cartographie des services et applications de Microsoft utilisent également les services Bing et lorsque vous envoyez des informations — par exemple une adresse à visualiser sur une carte — ce service ou cette application les transmet à Cartes Bing pour qu'elles soient traitées."" "" Si vous utilisez un appareil mobile et que vous avez autorisé les services de recherche Bing à utiliser votre emplacement actuel, nous collectons également votre position."" ""Vous pouvez arrêter d'envoyer des informations de localisation soit via les paramètres de réglage privé de Windows soit par le biais des paramètres spécifiques de l'application, selon votre version de Windows ou votre appareil """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;"""IBM offre des applications mobiles en téléchargement à partir de diverses places de marché dédiées aux applications mobiles."" ""Lors du téléchargement et de l'utilisation de ces applications, ou lors de l'enregistrement préalable à l'utilisation de ces outils d'informatique sociale, nous vous demanderons de fournir certaines informations personnelles.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupon;Collecte de la localisation de l’utilisateur pour lui fournir des informations personnalisées sur le site (EX : Deals du jour dans les villes proches du lieu de résidence de l’utilisateur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rue du commerce;;;;Pas de collecte mentionnée.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;La collecte et le traitement de vos données personnelles sont effectuées quasiment de la même façon sur nos applications et sites mobiles que sur notre site Internet. Ces applications et sites mobiles vous permettent également d’accéder à des services de géolocalisation afin de trouver des hébergements à proximité de l’endroit où vous vous situez. Avec votre accord, nous pouvons vous envoyer des notifications push avec des informations sur votre réservation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eBay;"eBay n'évoque la collecte des données de localisation que pour les seules application et appreils mobiles. le site précise que ces données sont recueillies en fonction des paramétrages de l'appareil. Si les données de localisation sont reccueillies, elles servent notamment  pour fournir ""des services localisés, comme des publicités,des résultats de recherche et d'autres contenus personnalisés"". ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;;;;Aucune référence quant à l'existence d'une collecte des données de localisation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;;;;Aucune mention de la collecte des données de géolocalisation alors que l'application mobile collecte bien de telles données !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;"Opt-out : possible de désactiver la géolocalisation via la fonction GPS 
du mobile (utilisation de l'application mobile possible mais sans toutes
 ses fonctionnalités : ""If you do not consent to the tracking of your 
geo-location, you will still be able to use the basic features of the 
App. You may at any time withdraw your consent in your Uber account. 
Further, you can turn the geo-location tracking off at the device level,
 also temporarily. Your mobile device informs you when geo-location is 
tracked by displaying the GPS arrow icon.""                              
    Utilisation obligatoire des données de géolocalisation pendant le 
voyage avec un conducteur : If you are traveling in a Vehicle, we will 
collect the Driver's geo-location information from the Driver's mobile 
device. Because you are travelling in the Vehicle, this means we will 
also indirectly collect your location information. This information is 
necessary to calculate your fare, send you a receipt showing the route 
of the ride, allow you to view your trip history in your Uber account, 
and handle complaints from you or Drivers. We will also use the Driver's
 geo-location information in an anonymised and aggregated form in order 
to generate statistical information and management information and to 
provide you with increased App functionality. ";;;"Proposition Licence
++++ : ""Utilisation obligatoire des données de géolocalisation pour la
fourniture du service""(cf.
clause reproduite à gauche)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;When you access the Service by or through a mobile device, we may access, collect, monitor and/or remotely store “location data,” which may include GPS coordinates (e.g. latitude and/or longitude) or similar information regarding the location of your mobile device. Location data may convey to us information about how you browse and use the Service. Some features of the Service, particularly location-based services, may not function properly if use or availability of location data is impaired or disabled.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;;;;« Si vous utilisez un appareil mobile, nous collectons également des données permettant d’identifier votre appareil, vos paramètres et votre localisation. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeviantArt;;Location Information. If you enable this feature on the Service (currently planned for the mobile App), we will collect information about your location and/or use various technologies to determine your locations, such as by converting your IP address into a rough geolocation, or sensor data from your mobile device that provides information on nearby Wi-Fi access points and cell towers. For Users of our mobile applications, you can enable or disable location services when you use our Service through your mobile device settings.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go Voyages ;Il n'y a aucune information sur la collecte de données de localisation, or au regard de son secteur d'activité cela semble difficile à croire que Go voyage ne collecte pas les données de localisation. C'est pourquoi j'ai fais le choix de l'inscrire par défaut en Licence +;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boursorama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;;Nous sommes également en droit de partager avec d'autres utilisateurs le fait que vous êtes à proximité d'un point de vente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD;Aucune information à ce sujet mais la nature du site (ecommerce) laisse penser que ces données ne sont pas collectées sauf dans un but de livraison.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Données dans le terminal;;Collecte des données de profilage et des données techniques (dont pub ciblée) pour la fourniture du service;Collecte des données de profilage et des données personnelles pour la fourniture du service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;;;Utilisation de cookies sur le site web d'Apple permettant la collecte automatique + stockage dans des fichiers journaux:                           Adresses IP, type de navigateur, langue, FAI, sites web et applications de renvoi et de sortie, système d'exploitation,date/heure,données de parcours sur le site. Diverses finalités : comprendre et analyser les tendances, administrer le site, connaître le comportement des utilisateurs sur le site, améliorer les produits et services et collecter des informations démographiques à propos de l'ensemble des utilisateurs. Apple se réserve le droit d'utiliser ces informations pour ses services marketing et publicitaires. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente privée;;-;Dans la mesure où vous nous avez fourni des données personnelles vous conernant, notamment vos coordonnées électroniques, nous sommes susceptibles, sous réserve de vos choix d'associer des informations de navigation relatives à votre Terminal, traitées par les cookies que nous émettons, avec vos données personnelles afin de vous adresser, des prospections électroniques ou d'afficher sur votre Terminal, des offres personnalisées qui vous sont plus spécifiquement destinées et susceptobles de plus vous intresser. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy;;;Par ailleurs, lors de la consultation de notre Site et de nos services, nous pouvons être amenés à traiter des données de navigation relatives au terminal (ordinateur, tablette, smartphone, etc) que vous utilisez pour cette consultation. Dans ce cadre, nous sommes notamment susceptible d’installer des cookies (ou technologie équivalente telles que le Local storage ou le Session Storage) sur votre navigateur lorsque vous consultez nos services sous réserve des choix que vous avez exprimés;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allo Resto;;"Allo Resto : collecte de données non personnelles comme : type et version du navigateur, système d’exploitation…) 
Possibilité de rester anonyme par l’appareil.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom;;Lorsque que Vous naviguez sur nos Sites web, certains Renseignements anonymes risquent d'être collectés de manière passive, y compris Votre adresse de protocole Internet, le type de navigateur, et le système d'exploitation. Nous utilisons en outre les Cookies et les données telles que les adresses d'une ressource Internet (URL) pour rassembler des renseignements concernant la date et l'heure de Votre visite et les renseignements pour lesquels Vous avez fait une recherche et que vous avez consultés. Nous utilisons les Renseignements anonymes pour mesurer le trafic sur nos Sites web et pour nous aider à rendre nos Sites web plus utiles. Nous effaçons ces renseignements après un laps de temps. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;La politique de confidentalité d'airbnb ne fait pas mention de la collecte des données du terminal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;;Collecte de données  comme : type et version du navigateur, système d’exploitation…) ainsi que des informations techniques permettant d’identifier l’appareil pour lutter contre la fraude et réaliser des diagnostics.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsoft;;;"""Toutes les informations utilisées pour la personnalisation et la synchronisation sont stockées dans les serveurs de Microsoft et pour des raisons de sécurité, elles sont transmises via SSL. Certaines informations utilisées pour personnaliser vos applications sur un PC spécifique ne seront pas synchronisées sur ce PC et vos appareils, tant que vous n'aurez pas ajouté ce PC à votre compte Microsoft en tant que PC de confiance."" ""Pour l'application Bing sur votre appareil iOS, la personnalisation et la synchronisation peuvent être activées et désactivées en vous connectant ou en vous déconnectant à votre compte Microsoft."" ""Si vous avez autorisé un service ou une application Microsoft utilisant les services Bing à accéder à votre emplacement, lorsque vous effectuez une recherche, l'emplacement de votre appareil sera envoyé à Microsoft avec les termes de recherche, l'heure et la date de votre recherche et un identifiant unique généré par le service ou l'application Microsoft""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;X;X;X;Pas de précision mais j'opte pour la licence ++ si je lis entre les lignes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung;;Nous pouvons recueillir de façon automatique des informations d’ordre technique émanant de vous [...] (EX : page web d’où vient l’utilisateur). Nous recueillons ces informations afin de connaitre les préférences en matière de navigation des utilisateurs de ce site. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupon;Il n'est fait mention d'aucune collecte des données du terminal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rue du commerce;;" ""Certaines informations non personnelles peuvent être recueillies a 
l'occasion de votre navigation sur le Site, comme la version de votre 
navigateur (Chrome, Firefox, Safari, Opéra, Internet Explorer, etc.), le
 type de système d'exploitation utilisé (Linux, Windows 98, Mac Os, 
etc.) et l'adresse IP (Internet Protocol) de l'ordinateur utilisé.
           La société Rue du Commerce utilise des cookies, destinés à
 stocker des informations pouvant identifier votre terminal (ordinateur,
 tablette, smartphone, etc.) durant la consultation du Site afin de 
faciliter l'expérience de navigation sur ce dernier.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eBay;;"eBay évoque de manière très évasive la collecte 
des données de navigation sans préciser 
leur utilisation ou leur finalité :
""Nous pouvons recevoir ou recueillir des informations 
supplémentaires vous concernant à partir de sources tierces 
et les ajouter aux informations de votre compte. 
Il s'agit notamment d'informations 
démographiques et de navigation""";"eBay peut accéder aux informations 
personnelles sur les appareils mobiles. 
Concernant les données personnelles sensibles, 
le site demande 
l'autorisation à l'utilisateur de l'appareil 
avant tout accès. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;Aucune collecte des données du terminal n'est mentionnée;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;;;"""Si vous vous inscrivez auprès de TripAdvisor, nous recueillerons à votre sujet des informations à caractère personnel (...). Nous pouvons conserver l’ensemble ou une partie de ces informations dans un fichier « cookie » placé sur votre disque dur, pour que notre système puisse vous reconnaître chaque fois que vous consultez notre Site. De cette manière, nous pouvons sauvegarder vos préférences d’une visite à l’autre et personaliser votre navigation sans que vous n’ayez à vous enregistrer sur notre Site à chaque fois que vous le consultez. Afin d’améliorer les services et notre degré de personnalisation, nous pouvons ponctuellement obtenir, en toute légalité, auprès d’autres sources tierces indépendantes, des informations vous concernant et les ajouter à vos informations d’inscription. De plus, le personnel autorisé de TripAdvisor peut mettre à jour les informations d’inscription vous concernant pour que celles-ci reflètent correctement toute nouvelle information contenue dans les communications que vous nous envoyez.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;;"Collecte des données techniques et des données de profilage pour la fourniture du service (assurer les fonctionnalités du site et de l'application mobile, résoudre les difficultés techniques, etc.) : ""When you visit our Website, our website administrators process technical data such as your IP-address, visited webpages, the internet browser you use, your previous/next visited websites and the duration of a visit/session to enable us to deliver the functionalities of the Website. In addition, in certain instances the browser may prompt you for your geo-location to allow us to provide you with an enhanced experience. With this technical data our website administrators can manage the Website, for instance by resolving technical difficulties or improving the accessibility of certain parts of the Website. This way, we ensure that you can (continue to) find the information on the Website in a quick and simple manner. 
For this purpose we also use cookies. See paragraph 8 for our cookie policy. 
When you use our App, we also process technical data such as your IP-address, Device ID or MAC-address, and information about the manufacturer, model, and operating system of your mobile device. We use this data to enable us to deliver the functionalities of the App, resolve technical difficulties, provide you with the correct and most up to date version of the App and to improve the function of the App."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;;« Lorsque vous visitez les Plateformes, nous collectons vos informations. Certaines d’entre elles peuvent être personnelles. Ces informations incluent l’historique des recherches, l’adresse IP, la résolution de l’écran, le navigateur utilisé, le système d’exploitation et les paramètres, le temps de navigation et les URL référentes. »;"« Lorsque vous visitez les Plateformes, nous collectons vos informations. Certaines d’entre elles peuvent être personnelles. Ces informations incluent l’historique des recherches, l’adresse IP, la résolution de l’écran, le navigateur utilisé, le système d’exploitation et les paramètres, le temps de navigation et les URL référentes. »

« Nous collectons les données personnelles que vous nous envoyez directement. Par exemple, lorsque vous créer un compte ou réservez un voyage. »";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeviantArt;;We collect and use your PII when you register for special services (e.g., the Print Program), sign up for e-mail newsletters and purchase products or services. We use your PII to help customize advertising and content available on the DeviantArt Sites, to send you information about products and services that may be of interest to you and/or to conduct research for internal purposes. Some features, services, and promotional opportunities that we offer may also ask you to submit PII to participate.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go Voyages ;aucune mention quand à la colecte de donnée dans le terminal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;n/a;n/a;"« When you access the 8tracks Platform, we may send one or more cookies — small text files containing a string of alphanumeric characters — to your computer. 8tracks may use both session cookies and persistent cookies. A session cookie disappears after you close your browser. A persistent cookie remains after you close your browser and may be used by your browser on subsequent visits to the 8tracks Platform in order to improve your experience, as explained in B below. Persistent cookies can be removed. Please review your web browser ""Help"" file to learn the best way to modify your cookie settings. »";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boursorama;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;;;Lorsque vous accédez à PayPal à l'aide d'un appareil mobile (par exemple un smartphone), nous pouvons récupérer et conserver des informations liées à la connexion sur cet appareil (y compris son numéro d'identification) et à la géolocalisation en vue de pouvoir fournir nos services. // Si vous utilisez votre application mobile, nous sommes en droit de partager l'image que vous avez stockée dans votre application mobile avec d'autres utilisateurs PayPal afin qu'ils puissent vous identifier. Vous nous cédez une licence d'utilisation de votre image aux fins susmentionnées sur une base non exclusive, mondiale, gratuite, transférable et cessible sous licence. Nous sommes également en droit de partager avec d'autres utilisateurs le fait que vous êtes à proximité d'un point de vente. Si vous utilisez PayPal comme moyen de connexion à des sites Web externes ou à des applications mobiles, il se peut que nous communiquions votre statut de connexion à un tiers proposant ce Service comme moyen de connexion, ainsi que les informations personnelles et autres données concernant votre compte que vous consentez à partager, de sorte que ledit tiers puisse vous reconnaître. PayPal n'autorisera pas l'accès d'un tel tiers à votre compte PayPal et ne procédera à des paiements depuis votre compte vers ledit tiers qu'avec votre autorisation spécifique. Vous pouvez accéder à, afficher et ajuster les paramètres de ce partage de données avec des marchands lorsque vous êtes connecté à votre compte PayPal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD;Aucune information à ce sujet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cookies;Opt-in : droit pour les internautes d’accepter leur utilisation et de refuser le croisement des données de navigation de leur terminal avec leurs données personnelles;Opt-out : Droit pour les internautes de refuser les cookies;Utilisation nécessaire et possible association avec des données personnelles pour permettre le fonctionnement du service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;;;"Principe :Les données  collectées par les cookies et autres technologies sont considérées comme des données non-personnelles.                                     Exception : si la loi locale qualifie l'adresse IP/identifiants similaires de données personnelles elles  seront traitées comme des données personnelles par Apple.                          Possibilité de opt-out en désactivant les cookies du navigateur web Safari mais dans ce cas ""certaines fonctionnalités du site web Apple ne seront plus disponibles.""
Recours aux cookies/autres technologies par Apple et ses partenaires pour ciblage publicitaire sur téléphone portable. Possibilité de opt-out qui ne portera que sur la pertinence des publicités reçues non pas sur leur nombre. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente privée;-;"Lors de la consultation de notre Site et Applications, des informations relatives à la navigation de votre Terminal sont susceptibles d'être enregistrées dans des fichiers ""Cookies"" installés sur votre Terminal, sous réserve des choix que vous auriez exprimés concernant les Cookies et que vous pouvez modifier à tout moment. 
Du fait d'applications tierces intégrées à notre Site, certains cookies peuvent être émis par d'autres entités et l'émission et l'utilisation de cookies par des tiers sont soumises aux politiques de protection de la vie privée de ces tiers. voir page 6. 

Si vous ne souhaitez pas :
- que nous recueillions des données sur votre navigation,
- que dans le cadre d’une inscription via une opération spéciale nous puissions identifier l’opération spéciale d’orginie,
vous pouvez choisir ci-dessous de désactiver tous les cookies tiers, non-essentiels à la navigation sur vente-privee.com Nous enregistrerons alors dans votre terminal un cookie ayant pour unique objet de désactiver le dépôt de ces cookies sur votre poste. Ce cookie aura une durée de validité de 13 mois.

Souhaitez-vous désactiver le dépôt des cookies non strictement nécessaires à la navigation ? Non   Oui ";-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
